  Order ID     Order Date    Order Priority Order Quantity     Sales       Ship Mode     Shipping Cost         Province          Customer Segment    Product Category      Product Sub-Category      Product Container    Ship Date
   15654        10/1/2016    Not Specified         4          10054.16   Delivery Truck       31.8               Yukon              Corporate           Technology            Office Machines            Jumbo Drum       10/3/2016
   18374        9/30/2019         Low             21           160.67     Regular Air         5.9             Saskachewan           Corporate        Office Supplies               Paper                 Small Box        10/2/2019
   20384       10/24/2018         Low             30           424.36     Regular Air          10               Quebec              Corporate        Office Supplies      Storage & Organization         Small Box       10/31/2018
   43493        5/10/2019         High            22           163.2      Regular Air         6.4             Saskachewan           Corporate        Office Supplies               Paper                 Small Box        5/11/2019
   56064       10/28/2016        Medium           41          1251.11     Regular Air         1.6             Saskachewan          Home Office       Office Supplies   Binders and Binder Accessorie     Small Box       10/28/2016
   10948        8/13/2019        Medium           50           206.63     Regular Air         7.5                Yukon              Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        8/13/2019
    261         6/27/2017        Medium           47          6075.04     Regular Air         4.5          British Columbia       Small Business        Technology     Telephones and Communication      Small Box        6/28/2017
   56039       11/24/2018         Low             23          167.6262    Regular Air         5.6               Ontario           Small Business     Office Supplies               Paper                 Small Box       11/29/2018
   49153        7/28/2019        Medium           31          2402.98    Delivery Truck       32.1         British Columbia       Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       7/28/2019
   49346        5/4/2018     Not Specified         8           100.95     Regular Air          3              Saskachewan           Corporate           Furniture           Office Furnishings           Small Pack       5/7/2018
   50147        10/7/2016        Medium           42         1609.2907    Regular Air         15.8            Saskachewan          Home Office       Office Supplies             Envelopes               Small Box        10/8/2016
   56161        4/14/2019         High            38          1609.52     Express Air          11              Manitoba            Home Office          Technology         Computer Peripherals          Small Box        4/16/2019
   24486        4/21/2018        Medium           14           28.95      Regular Air         0.7               Ontario              Consumer        Office Supplies        Pens & Art Supplies           Wrap Bag        4/22/2018
   40454        4/20/2018    Not Specified        43          1330.95     Regular Air         9.6               Quebec              Corporate        Office Supplies        Pens & Art Supplies          Small Pack       4/23/2018
   38599       10/25/2016         High            27          2836.82     Regular Air         37.5            Nova Scotia            Consumer        Office Supplies      Storage & Organization         Large Box       10/26/2016
   23169        6/22/2018       Critical          27           184.79     Regular Air         5.5               Ontario            Home Office       Office Supplies               Paper                 Small Box        6/24/2018
   34082       10/27/2018    Not Specified        20           41.26      Regular Air         1.6               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box       10/28/2018
   31106        2/15/2019         Low             45           277.31     Regular Air         3.9             Saskachewan           Corporate        Office Supplies   Scissors, Rulers and Trimmers     Small Pack       2/17/2019
   45958        5/24/2018        Medium           16           123.41     Regular Air         3.3                Yukon            Small Business     Office Supplies               Paper                  Wrap Bag        5/26/2018
    8390        4/21/2019        Medium           24           765.48     Regular Air         4.3          British Columbia        Home Office          Technology         Computer Peripherals          Small Box        4/21/2019
   31042       11/19/2019        Medium           26           3453.3    Delivery Truck       32.1             Manitoba              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum      11/20/2019
   19204        9/17/2016        Medium           27           250.29     Regular Air         9.1               Ontario             Corporate           Furniture           Office Furnishings           Small Pack       9/18/2016
   55623        10/5/2019       Critical          47          11073.14   Delivery Truck       34.8             Manitoba             Corporate           Furniture                 Tables                 Jumbo Box        10/6/2019
   46468        1/10/2018       Critical           1            12.7      Regular Air         5.8               Ontario            Home Office       Office Supplies               Paper                 Small Box        1/12/2018
   23172        4/24/2019         Low             13          1275.15     Regular Air          15               Alberta            Home Office          Technology            Office Machines            Medium Box       4/29/2019
   12934        3/4/2016     Not Specified        45          471.2173    Regular Air         1.5        Prince Edward Island       Corporate        Office Supplies             Envelopes               Small Box        3/5/2016
   12263        7/5/2018          High            12           551.75     Regular Air         4.3               Ontario             Corporate        Office Supplies            Appliances               Small Box        7/5/2018
   43045        6/14/2019        Medium           47          5672.28     Regular Air         10.8            Saskachewan           Corporate           Furniture           Office Furnishings           Large Box        6/16/2019
   10692        7/25/2016         Low             26           107.44     Regular Air         4.5          British Columbia         Corporate        Office Supplies        Pens & Art Supplies          Small Pack       7/27/2016
    3553        5/16/2016        Medium            7           21.94      Regular Air          1               Manitoba             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        5/17/2016
    6850        2/10/2017         High            26          4016.48    Delivery Truck       56.1              Alberta             Corporate           Furniture                 Tables                 Jumbo Box        2/11/2017
   10502        5/13/2017    Not Specified        36           976.31     Regular Air         9.6            New Brunswick           Consumer           Furniture           Office Furnishings           Small Pack       5/15/2017
   28357        5/20/2017    Not Specified        43           121.37     Regular Air         1.1               Alberta            Home Office       Office Supplies           Rubber Bands               Wrap Bag        5/21/2017
   17701        5/21/2019       Critical          21           86.08      Regular Air          5                 Yukon             Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        5/22/2019
   10884       11/24/2016         Low             24          2702.81     Regular Air         9.6                Yukon               Consumer           Technology     Telephones and Communication      Small Box        12/1/2016
   44199        3/4/2019          Low             12           54.24      Regular Air         2.1          British Columbia        Home Office       Office Supplies           Rubber Bands               Wrap Bag        3/8/2019
   44613        8/29/2017         High            45           262.74     Regular Air         8.7             Saskachewan         Small Business     Office Supplies               Paper                 Small Box        8/30/2017
   38503        5/4/2016          Low             47          5957.54     Regular Air         4.3               Ontario             Corporate        Office Supplies            Appliances               Small Box        5/4/2016
   43907        7/18/2019       Critical          42          1490.26    Delivery Truck       48.7              Quebec              Corporate           Furniture                 Tables                 Jumbo Box        7/20/2019
   52642        6/13/2018         Low              9           794.84    Delivery Truck        64               Ontario            Home Office          Furniture           Chairs & Chairmats           Jumbo Drum       6/17/2018
   57029        3/7/2018        Critical          17           79.45      Regular Air         5.6               Quebec               Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        3/8/2018
    2790        8/17/2016         High             7           49.12      Regular Air          8           British Columbia        Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        8/18/2016
    9985        8/6/2017          Low             12           87.63      Regular Air         5.6               Alberta              Consumer        Office Supplies               Paper                 Small Box        8/6/2017
   14951        5/16/2018        Medium           34          2973.74     Regular Air         7.7             Saskachewan          Home Office          Technology         Computer Peripherals          Small Box        5/18/2018
   43301        8/20/2016       Critical          33          3785.49    Delivery Truck       44.9              Alberta           Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       8/21/2016
   30214        10/3/2016         Low             38           401.9      Express Air         6.2              Manitoba            Home Office       Office Supplies   Binders and Binder Accessorie     Small Box       10/10/2016
   20160       10/21/2018         Low             42           465.71     Express Air         1.9        Northwest Territories    Small Business     Office Supplies               Paper                  Wrap Bag       10/23/2018
   30016        1/3/2016        Critical           8           807.48     Regular Air         2.7               Ontario             Corporate           Technology     Telephones and Communication      Small Box        1/6/2016
    8161        6/2/2016          High            45           120.61     Regular Air         0.5                Yukon               Consumer        Office Supplies              Labels                 Small Box        6/4/2016
   38496        2/19/2017       Critical          23          124.7299    Regular Air         5.1               Ontario             Corporate        Office Supplies               Paper                 Small Box        2/21/2017
   40934       11/12/2018    Not Specified        28           52.95      Regular Air         0.7               Quebec             Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag       11/13/2018
   25120        2/4/2016         Medium           22           191.77     Regular Air         11.9            Saskachewan           Corporate        Office Supplies               Paper                 Small Box        2/5/2016
   23264        12/6/2017       Critical          16           116.01     Regular Air         7.3        Northwest Territories      Corporate        Office Supplies               Paper                 Small Box        12/8/2017
   45088       11/21/2017         Low              9          1518.28     Regular Air         4.5               Alberta            Home Office          Technology     Telephones and Communication      Small Box       11/28/2017
   22628       10/28/2016        Medium           30          3158.32    Delivery Truck       79.6           New Brunswick          Corporate           Furniture           Chairs & Chairmats           Jumbo Drum      10/31/2016
    1028        1/5/2016          High            11          2162.63     Regular Air         6.4          British Columbia          Consumer           Technology     Telephones and Communication      Small Box        1/7/2016
   58407        5/5/2018          High            29         1786.7716    Regular Air         15.3            Nova Scotia           Corporate        Office Supplies               Paper                 Small Box        5/8/2018
    2370        1/16/2016       Critical           6           727.17     Regular Air          15               Quebec               Consumer           Furniture           Office Furnishings           Medium Box       1/18/2016
   36390       10/12/2019         High             3           352.7      Regular Air         9.6             Nova Scotia           Corporate           Technology     Telephones and Communication      Small Box       10/14/2019
   59783        8/18/2017         Low             36           82.85      Regular Air         2.7                Yukon              Corporate        Office Supplies   Scissors, Rulers and Trimmers     Small Pack       8/23/2017
   41571        6/5/2018          Low             42           969.49     Regular Air         9.6               Ontario             Corporate        Office Supplies        Pens & Art Supplies          Small Pack       6/14/2018
    7203        1/8/2016          High            25          23274.65    Regular Air         21.4              Alberta             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        1/10/2016
   22882        9/12/2017       Critical          10           76.23      Regular Air         3.3             Saskachewan          Home Office       Office Supplies               Paper                  Wrap Bag        9/14/2017
   10791        8/18/2018    Not Specified        20           428.61     Regular Air         6.2        Northwest Territories    Small Business     Office Supplies               Paper                 Small Box        8/20/2018
   47778        2/13/2017       Critical          12           186.3      Regular Air         7.3               Alberta             Corporate           Furniture           Office Furnishings            Wrap Bag        2/15/2017
   18465        4/14/2017         High            12           873.37     Regular Air         37.5              Ontario           Small Business     Office Supplies      Storage & Organization         Large Box        4/16/2017
   39815        4/8/2016          Low             43          4360.65     Regular Air         9.6               Ontario              Consumer           Technology     Telephones and Communication      Small Box        4/12/2016
   59879        3/8/2016     Not Specified        33          1056.43     Express Air         3.5             Saskachewan           Corporate           Technology     Telephones and Communication      Small Pack       3/10/2016
   20096        8/19/2019         Low             35          6544.24    Delivery Truck       31.3               Yukon               Consumer           Furniture                 Tables                 Jumbo Box        8/24/2019
   19522       10/19/2016        Medium           37           68.87      Regular Air         0.7               Quebec               Consumer        Office Supplies        Pens & Art Supplies           Wrap Bag       10/20/2016
   11527        7/1/2016         Medium           45          4953.75     Regular Air         9.6               Quebec             Home Office          Furniture           Office Furnishings           Small Pack       7/3/2016
   15718        1/27/2016       Critical          36           107.93     Regular Air         0.7               Ontario             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        1/28/2016
   46337        4/27/2019         Low             34           65.75      Regular Air         0.7               Quebec              Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        5/2/2019
   19365        1/15/2018        Medium           29           194.56     Regular Air         5.6        Prince Edward Island     Small Business     Office Supplies               Paper                 Small Box        1/16/2018
   18341        7/17/2017       Critical          39           254.54     Regular Air         8.5               Quebec               Consumer        Office Supplies               Paper                 Small Box        7/17/2017
    3778        5/24/2017       Critical          34           286.86     Regular Air         2.5               Quebec             Home Office          Technology         Computer Peripherals          Small Pack       5/26/2017
   23104        4/8/2018         Medium           24           152.8      Regular Air         3.6             Saskachewan         Small Business     Office Supplies           Rubber Bands               Wrap Bag        4/11/2018
   24643        4/29/2019        Medium           30          2533.94     Regular Air         1.3               Ontario             Corporate           Technology     Telephones and Communication      Small Pack       5/1/2019
   28642        1/17/2018         High            41           246.41     Regular Air         3.2               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        1/19/2018
   20192        10/5/2017         Low             35           1738.4     Regular Air         2.1              Manitoba            Home Office          Technology         Computer Peripherals          Small Pack      10/12/2017
   38789       11/13/2017         High             9          103.2764    Regular Air         5.5               Quebec            Small Business        Furniture           Office Furnishings           Small Box       11/14/2017
   40097        1/9/2016          Low             47           126.13     Regular Air         2.6               Ontario            Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        1/14/2016
    2240        3/5/2019     Not Specified         5           152.41     Regular Air         6.6             Saskachewan            Consumer        Office Supplies        Pens & Art Supplies          Small Pack       3/6/2019
   28290        1/10/2016         Low              3           560.23     Express Air         21.4              Ontario            Home Office       Office Supplies      Storage & Organization         Small Box        1/12/2016
   36805       12/13/2017        Medium            7           282.27     Regular Air         5.4          British Columbia         Corporate           Furniture           Office Furnishings           Small Box       12/15/2017
   26274        6/12/2019    Not Specified        41           404.28     Regular Air         2.3                Yukon              Corporate        Office Supplies               Paper                  Wrap Bag        6/13/2019
   26567        9/3/2016        Critical           8           54.249     Regular Air         8.3        Northwest Territories      Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        9/3/2016
   44869        8/22/2019        Medium           43            303       Regular Air          8                Alberta             Corporate        Office Supplies               Paper                 Small Box        8/24/2019
   33220        4/14/2016    Not Specified        49          3521.51     Regular Air         3.7             Saskachewan            Consumer        Office Supplies            Appliances               Small Box        4/14/2016
   49029        5/20/2019         High            49          8798.68     Express Air         4.3        Prince Edward Island       Corporate           Technology     Telephones and Communication      Small Box        5/22/2019
   56834        4/30/2018         High            22           2033.5    Delivery Truck       32.2              Alberta             Corporate           Technology            Office Machines            Jumbo Box        5/2/2018
   38656        8/10/2019         Low             13           68.97      Regular Air         0.5          British Columbia          Consumer        Office Supplies              Labels                 Small Box        8/10/2019
    3777        4/6/2016         Medium           14          261.9895    Express Air         9.6               Ontario           Small Business        Furniture           Office Furnishings           Small Pack       4/7/2016
   45571        9/23/2019        Medium           47           6393.3     Regular Air         9.6              Manitoba              Consumer           Technology     Telephones and Communication      Small Box        9/25/2019
   32001       10/27/2018         Low             11          3684.23     Regular Air          15               Quebec            Small Business        Technology            Office Machines            Medium Box      10/29/2018
   59652        1/26/2018        Medium           17           333.88     Regular Air         1.1                Yukon             Home Office          Technology     Telephones and Communication      Small Pack       1/28/2018
   53508        11/9/2016         High             4           66.85      Regular Air         2.1              Manitoba              Consumer        Office Supplies               Paper                  Wrap Bag        11/9/2016
   44422        4/13/2019        Medium           11           215.71     Regular Air         1.1              Manitoba             Corporate           Technology     Telephones and Communication       Wrap Bag        4/15/2019
   47749        3/15/2017        Medium           46           427.55     Regular Air         8.3        Northwest Territories    Small Business     Office Supplies   Scissors, Rulers and Trimmers     Small Pack       3/15/2017
   10784        7/4/2017     Not Specified        30           220.71     Regular Air         5.9               Quebec             Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        7/6/2017
   33186        8/28/2019         Low             24          1445.07     Regular Air         5.6        Northwest Territories      Corporate           Technology     Telephones and Communication      Small Box        8/30/2019
   24966       12/16/2018        Medium           34          4442.77     Regular Air         21.4             Manitoba             Corporate        Office Supplies      Storage & Organization         Small Box       12/17/2018
   27717       10/25/2018       Critical          19           80.45      Regular Air          8               Manitoba             Corporate        Office Supplies              Labels                 Small Box       10/28/2018
    225         5/23/2018       Critical           1           25.36      Regular Air         4.4               Quebec             Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        5/25/2018
    5318        4/2/2017          High            29          5361.49     Express Air         4.5          British Columbia          Consumer           Technology     Telephones and Communication      Small Box        4/3/2017
   20225        7/25/2017         Low             22          132.038     Regular Air         0.9                Yukon              Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        8/1/2017
   55809        9/9/2018        Critical           2           268.25    Delivery Truck       48.2              Ontario              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum       9/11/2018
   10439        3/28/2019    Not Specified        30          609.4827    Regular Air         4.3               Alberta              Consumer           Technology         Computer Peripherals          Small Box        3/30/2019
   24007        8/25/2017         Low             42           174.5      Regular Air         0.5        Northwest Territories     Home Office       Office Supplies              Labels                 Small Box        8/29/2017
    7744       11/16/2016         Low              1            8.92      Regular Air         1.5               Ontario             Corporate        Office Supplies             Envelopes               Small Box       11/25/2016
    2593        9/2/2017          High            15          4110.64    Delivery Truck       46.4            Saskachewan           Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       9/3/2017
   27460        5/11/2016    Not Specified         7           914.88     Regular Air         13.5             Manitoba             Corporate           Furniture           Chairs & Chairmats           Medium Box       5/12/2016
   30913        9/22/2019        Medium           24           531.38     Express Air         11.2              Alberta             Corporate           Furniture           Office Furnishings           Small Box        9/24/2019
    7427       12/15/2019    Not Specified        47          17122.45    Regular Air         21.4         British Columbia         Corporate        Office Supplies            Appliances               Small Box       12/15/2019
   28007        4/7/2017     Not Specified        23            138       Regular Air         52.4               Yukon            Small Business     Office Supplies            Appliances               Large Box        4/8/2017
   30149       12/11/2017        Medium            5           185.77    Delivery Truck       20.5         British Columbia         Corporate           Furniture           Chairs & Chairmats           Jumbo Drum      12/13/2017
   46531        8/20/2018         Low             39          4505.77     Regular Air         73.8            Nova Scotia            Consumer           Furniture                 Tables                 Large Box        8/27/2018
   53795        1/29/2019         High            21         3591.7065    Regular Air         4.5               Ontario            Home Office          Technology     Telephones and Communication      Small Box        1/31/2019
   42886        1/7/2019         Medium           42          173.9499    Regular Air         0.5             Saskachewan           Corporate        Office Supplies              Labels                 Small Box        1/9/2019
   34660        9/2/2018     Not Specified        36          4100.64     Regular Air         6.2             Saskachewan          Home Office          Furniture           Office Furnishings           Medium Box       9/4/2018
   29287        7/1/2016          High            50           301.09     Regular Air         5.4        Northwest Territories       Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        7/3/2016
   36452        4/4/2016          High            18           138.54     Regular Air          3                Ontario            Home Office          Furniture           Office Furnishings           Small Pack       4/6/2016
   48706       10/30/2019         Low             28           33.38      Regular Air         0.7               Quebec            Small Business     Office Supplies           Rubber Bands               Wrap Bag        11/3/2019
   46310        7/20/2017         High            29          2070.72     Regular Air         12.4              Ontario            Home Office       Office Supplies   Binders and Binder Accessorie     Small Box        7/21/2017
   38021        1/21/2016        Medium           46          1585.75     Regular Air         1.6          British Columbia         Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        1/23/2016
   20292        11/8/2019        Medium           26           484.06     Regular Air         8.7             Saskachewan           Corporate        Office Supplies            Appliances               Medium Box       11/8/2019
   48034        7/13/2016    Not Specified        47          1012.07     Regular Air         5.9               Ontario            Home Office       Office Supplies        Pens & Art Supplies          Small Pack       7/14/2016
   16422        10/8/2018       Critical          16          183.505     Regular Air          5              Saskachewan         Small Business     Office Supplies   Scissors, Rulers and Trimmers     Small Pack      10/10/2018
    2211        6/28/2016         High            14          102.6023    Regular Air         7.7               Quebec             Home Office       Office Supplies               Paper                 Small Box        6/30/2016
   16834       10/22/2017         Low             23           169.89     Regular Air         2.3               Alberta              Consumer        Office Supplies               Paper                  Wrap Bag       10/29/2017
    7297        9/13/2016         High            26          1002.54     Regular Air         21.4              Ontario           Small Business        Furniture           Office Furnishings           Small Box        9/14/2016
   59909        8/5/2019          Low             11          1343.36    Delivery Truck       60.1              Ontario           Small Business        Technology            Office Machines            Jumbo Drum       8/7/2019
   53605        8/2/2017         Medium           19           541.94     Regular Air         5.7            New Brunswick           Consumer        Office Supplies            Appliances               Medium Box       8/4/2017
   43686        5/6/2018         Medium           16          1405.59     Regular Air         6.6               Alberta             Corporate           Technology         Computer Peripherals          Small Box        5/7/2018
   59108        10/6/2018         Low             21           73.33      Regular Air         4.2               Ontario             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag       10/11/2018
   11875        8/20/2019        Medium           19           259.61     Regular Air         6.7          British Columbia       Small Business     Office Supplies      Storage & Organization         Medium Box       8/21/2019
   25442        1/4/2019          High            32          1782.62     Regular Air         5.2            Newfoundland          Home Office       Office Supplies               Paper                 Small Box        1/6/2019
   47942        2/26/2017        Medium            9           983.05     Express Air         8.2             Saskachewan           Corporate           Technology     Telephones and Communication      Small Box        2/27/2017
   37473        9/30/2016         Low              8           46.78      Regular Air         2.2               Quebec            Small Business     Office Supplies               Paper                  Wrap Bag        9/30/2016
   48322        3/4/2019         Medium           14           44.27      Regular Air         0.7          British Columbia          Consumer        Office Supplies        Pens & Art Supplies           Wrap Bag        3/5/2019
   58500        2/13/2018         Low             17          1636.04     Regular Air         9.6          British Columbia        Home Office          Technology     Telephones and Communication      Small Box        2/13/2018
   51171        6/20/2017         High            34           838.32     Regular Air         16.2         British Columbia       Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        6/22/2017
   59809        3/7/2018     Not Specified        16           542.32     Regular Air          7              Saskachewan          Home Office          Technology         Computer Peripherals          Small Box        3/8/2018
    5958        9/14/2018        Medium            3          2179.56     Regular Air         26.2               Yukon            Small Business        Technology            Copiers and Fax            Large Box        9/16/2018
    7107        1/3/2019     Not Specified         3           184.08     Regular Air         11.9             Manitoba             Corporate           Furniture           Office Furnishings           Medium Box       1/3/2019
   28929        10/9/2019        Medium           46           773.79     Regular Air         13.3            Saskachewan           Corporate        Office Supplies             Envelopes               Small Box       10/11/2019
   12580        1/12/2017         Low             50          8600.75     Regular Air         21.4               Yukon            Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        1/14/2017
   54151        9/1/2016        Critical          35          220.2809    Regular Air         1.6               Ontario           Small Business     Office Supplies               Paper                  Wrap Bag        9/2/2016
   55073        3/20/2019         Low             40         2543.0802    Regular Air         4.3               Ontario             Corporate           Technology     Telephones and Communication      Small Box        3/20/2019
   49472        7/15/2017         Low             15           154.23     Regular Air         2.1             Nova Scotia         Small Business        Technology         Computer Peripherals          Small Pack       7/20/2017
   44290        3/20/2017        Medium           49           543.97     Regular Air         5.8             Saskachewan           Corporate           Furniture           Office Furnishings           Small Pack       3/22/2017
   33894        6/13/2017       Critical          14           150.51     Regular Air         4.7        Northwest Territories      Corporate        Office Supplies               Paper                  Wrap Bag        6/16/2017
   59779        5/16/2016         Low             30           3825.5    Delivery Truck       32.1            Saskachewan           Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       5/23/2016
    7906       10/16/2016        Medium           37          1073.27     Regular Air         5.7               Nunavut              Consumer        Office Supplies            Appliances               Medium Box      10/16/2016
   27879        2/25/2017        Medium           30          322.712     Express Air         6.7            New Brunswick        Small Business        Furniture           Office Furnishings           Small Box        2/27/2017
   17573        9/3/2018          Low             47          23064.49   Delivery Truck       52.4              Alberta           Small Business        Technology            Copiers and Fax            Jumbo Drum       9/5/2018
   58599        1/13/2017       Critical          49          5705.69    Delivery Truck       32.1            Nova Scotia         Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       1/14/2017
   58434        3/8/2016          High            42           902.58     Regular Air         6.6        Prince Edward Island      Home Office          Furniture           Office Furnishings           Small Pack       3/9/2016
    4359        3/1/2017        Critical          21           230.86     Regular Air          8              Saskachewan          Home Office       Office Supplies      Storage & Organization         Small Box        3/3/2017
   40193        9/2/2019          High            34          3349.32     Express Air         2.7               Ontario             Corporate           Technology     Telephones and Communication      Small Box        9/2/2019
    1761       12/22/2017         High            25         12870.2061  Delivery Truck       52.4              Nunavut             Corporate           Technology            Copiers and Fax            Jumbo Drum      12/24/2017
   56384        7/31/2019       Critical          47           275.2      Regular Air         52.4              Ontario           Small Business     Office Supplies            Appliances               Large Box        8/1/2019
   30915        1/16/2016         Low             20           67.17      Express Air         2.2               Ontario             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        1/16/2016
   14534        7/17/2017        Medium           46           798.21     Regular Air         4.3              Manitoba             Corporate           Technology         Computer Peripherals          Small Box        7/17/2017
   37542        7/19/2016        Medium           26          2724.78     Express Air         8.2               Alberta             Corporate           Technology     Telephones and Communication      Small Box        7/21/2016
   57155        6/16/2016       Critical          16           573.03     Express Air         5.5               Ontario              Consumer        Office Supplies      Storage & Organization         Small Box        6/17/2016
   16005       12/24/2019    Not Specified         7            54.6      Regular Air         5.9              Manitoba             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box       12/26/2019
